class,probability,count
0,2.276245106073022e-05,9
1,5.5641547037340534e-05,22
2,5.058322457940049e-06,2
3,1.7704128602790172e-05,7
4,6.575819195322063e-05,26
5,6.32290307242506e-05,25
6,6.069986949528059e-05,24
7,3.5408257205580345e-05,14
8,2.0233289831760196e-05,8
9,4.805406335043046e-05,19
10,2.5291612289700243e-05,10
11,1.5174967373820147e-05,6
12,2.276245106073022e-05,9
13,2.7820773518670267e-05,11
14,3.5408257205580345e-05,14
15,7.840399809807076e-05,31
16,4.552490212146044e-05,18
17,3.2879095976610314e-05,13
18,1.5174967373820147e-05,6
19,3.793741843455037e-05,15
20,4.046657966352039e-05,16
21,2.276245106073022e-05,9
22,4.552490212146044e-05,18
23,4.805406335043046e-05,19
24,2.7820773518670267e-05,11
25,4.046657966352039e-05,16
26,2.276245106073022e-05,9
27,6.32290307242506e-05,25
28,4.805406335043046e-05,19
29,1.7704128602790172e-05,7
30,3.2879095976610314e-05,13
31,1.2645806144850122e-05,5
32,5.311238580837051e-05,21
33,2.0233289831760196e-05,8
34,2.7820773518670267e-05,11
35,5.058322457940049e-06,2
36,6.069986949528059e-05,24
37,5.0583224579400486e-05,20
38,1.7704128602790172e-05,7
39,5.311238580837051e-05,21
40,3.2879095976610314e-05,13
41,5.5641547037340534e-05,22
42,6.828735318219065e-05,27
43,6.32290307242506e-05,25
44,2.5291612289700243e-05,10
45,5.311238580837051e-05,21
46,5.311238580837051e-05,21
47,4.552490212146044e-05,18
48,6.069986949528059e-05,24
49,1.0116644915880098e-05,4
50,1.0116644915880098e-05,4
51,3.0349934747640294e-05,12
52,2.276245106073022e-05,9
53,3.2879095976610314e-05,13
54,2.7820773518670267e-05,11
55,4.552490212146044e-05,18
56,2.5291612289700243e-05,10
57,1.7704128602790172e-05,7
58,3.0349934747640294e-05,12
59,1.0116644915880098e-05,4
60,5.311238580837051e-05,21
61,2.5291612289700243e-05,10
62,5.0583224579400486e-05,20
63,4.805406335043046e-05,19
64,3.5408257205580345e-05,14
65,2.276245106073022e-05,9
66,4.2995740892490416e-05,17
67,5.817070826631056e-05,23
68,3.5408257205580345e-05,14
69,1.5174967373820147e-05,6
70,5.311238580837051e-05,21
71,5.817070826631056e-05,23
72,1.0116644915880098e-05,4
73,1.0116644915880098e-05,4
74,4.805406335043046e-05,19
75,2.0233289831760196e-05,8
76,1.5174967373820147e-05,6
77,4.046657966352039e-05,16
78,2.276245106073022e-05,9
79,2.5291612289700243e-05,10
80,2.0233289831760196e-05,8
81,3.793741843455037e-05,15
82,2.276245106073022e-05,9
83,2.0233289831760196e-05,8
84,4.2995740892490416e-05,17
85,1.0116644915880098e-05,4
86,1.2645806144850122e-05,5
87,4.2995740892490416e-05,17
88,3.0349934747640294e-05,12
89,2.7820773518670267e-05,11
90,3.793741843455037e-05,15
91,5.5641547037340534e-05,22
92,2.276245106073022e-05,9
93,3.2879095976610314e-05,13
94,1.7704128602790172e-05,7
95,5.817070826631056e-05,23
96,1.2645806144850122e-05,5
97,2.5291612289700243e-05,10
98,6.32290307242506e-05,25
99,2.5291612289700243e-05,10
100,3.0349934747640294e-05,12
101,3.793741843455037e-05,15
102,1.0116644915880098e-05,4
103,2.7820773518670267e-05,11
104,9.35789654718909e-05,37
105,2.276245106073022e-05,9
106,4.552490212146044e-05,18
107,1.2645806144850122e-05,5
108,5.311238580837051e-05,21
109,7.5874836869100735e-06,3
110,1.7704128602790172e-05,7
111,1.5174967373820147e-05,6
112,2.7820773518670267e-05,11
113,3.5408257205580345e-05,14
114,1.5174967373820147e-05,6
115,2.5291612289700243e-05,10
116,1.0116644915880098e-05,4
117,2.276245106073022e-05,9
118,5.5641547037340534e-05,22
119,3.5408257205580345e-05,14
120,1.5174967373820147e-05,6
121,3.5408257205580345e-05,14
122,2.0233289831760196e-05,8
123,2.0233289831760196e-05,8
124,5.5641547037340534e-05,22
125,6.575819195322063e-05,26
126,2.7820773518670267e-05,11
127,1.0116644915880098e-05,4
128,1.7704128602790172e-05,7
129,1.2645806144850122e-05,5
130,5.817070826631056e-05,23
131,4.2995740892490416e-05,17
132,3.2879095976610314e-05,13
133,2.5291612289700243e-05,10
134,4.046657966352039e-05,16
135,7.5874836869100735e-06,3
136,5.311238580837051e-05,21
137,2.0233289831760196e-05,8
138,3.0349934747640294e-05,12
139,2.7820773518670267e-05,11
140,4.046657966352039e-05,16
141,5.058322457940049e-06,2
142,1.0116644915880098e-05,4
143,2.0233289831760196e-05,8
144,2.7820773518670267e-05,11
145,4.552490212146044e-05,18
146,3.5408257205580345e-05,14
147,3.2879095976610314e-05,13
148,6.069986949528059e-05,24
149,3.0349934747640294e-05,12
150,1.2645806144850122e-05,5
151,5.5641547037340534e-05,22
152,2.7820773518670267e-05,11
153,5.0583224579400486e-05,20
154,1.7704128602790172e-05,7
155,3.793741843455037e-05,15
156,1.0116644915880098e-05,4
157,2.5291612289700243e-05,10
158,7.587483686910074e-05,30
159,5.0583224579400486e-05,20
160,3.793741843455037e-05,15
161,2.5291612289700243e-05,10
162,1.2645806144850122e-05,5
163,3.793741843455037e-05,15
164,7.5874836869100735e-06,3
165,4.805406335043046e-05,19
166,2.0233289831760196e-05,8
167,5.817070826631056e-05,23
168,2.5291612289700243e-05,10
169,5.0583224579400486e-05,20
170,3.2879095976610314e-05,13
