trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001-rs-w-jrude6.trj,60.00,40.23,-33.33,0.00,2.90,3.00,1.80,1.80,-1.12,-1.12,1.27,3.92,5:52,rear end,1.27,82.34,211,5,3,4.21,2.00,78.43,0.00,1.27,40.23,-33.33,42.85,-20.51,215,5,3,7.93,2.55,82.34,1.80,0.53,38.86,-43.51,39.45,-39.13,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,63.00,34.47,-53.69,0.00,2.90,3.00,3.42,2.85,-2.24,-2.24,1.56,0.00,5:59,rear end,2.13,82.34,213,5,4,3.75,1.99,82.34,0.57,1.56,34.47,-53.69,35.58,-45.37,216,5,4,4.61,1.95,82.34,3.42,1.29,33.12,-63.68,34.20,-55.64,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,64.00,58.02,10.13,0.00,4.70,3.00,4.54,2.14,-1.83,-1.83,1.22,0.00,6:00,rear end,3.32,261.93,696,1,2,4.84,2.29,261.93,2.40,0.93,58.02,10.13,57.47,6.20,699,1,2,4.21,2.00,261.93,4.54,1.22,59.49,20.47,58.59,14.16,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,67.00,35.91,-42.97,0.00,2.90,3.00,3.75,3.11,-2.12,-2.12,1.70,0.00,5:59,rear end,2.34,82.34,213,5,4,3.75,1.99,82.34,0.64,1.70,35.91,-42.97,37.58,-30.50,216,5,4,4.61,1.95,82.34,3.75,1.41,34.70,-51.92,35.66,-44.80,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,81.00,17.29,-7.33,0.00,3.60,2.00,12.03,7.20,-3.38,-3.38,5.33,-0.24,6:00,rear end,6.71,352.55,9,10,1,10.22,2.50,352.66,4.83,1.88,17.29,-7.33,28.43,-8.76,10,10,1,4.61,1.95,352.42,12.03,5.33,-5.32,-4.33,18.62,-7.52,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,93.00,43.60,-53.32,0.00,2.10,3.00,16.54,16.09,-2.64,-2.64,8.43,-3.05,6:06,lane change,7.91,79.34,220,5,1,4.64,2.00,82.34,0.25,7.66,43.56,-53.58,44.99,-42.92,223,5,2,4.21,2.00,79.29,16.33,8.43,29.06,-130.88,43.28,-55.66,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,101.00,32.35,-91.93,0.00,4.00,1.00,17.19,3.00,-3.92,-3.92,1.71,0.26,5:59,rear end,15.89,82.51,227,5,3,3.75,1.99,82.34,14.18,1.71,32.35,-91.93,34.04,-79.39,228,5,3,4.76,2.07,82.61,17.19,1.29,30.79,-104.15,32.75,-89.05,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,101.00,36.72,-59.46,0.00,3.50,3.00,16.50,7.98,-3.19,-3.19,4.11,0.00,5:59,rear end,12.39,82.34,225,5,3,4.76,2.07,82.34,8.52,3.87,36.72,-59.46,38.82,-43.79,226,5,3,4.64,2.00,82.34,16.50,4.11,31.73,-96.52,37.95,-50.30,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,105.00,36.45,-61.45,0.00,3.60,3.00,17.32,7.12,-3.14,-8.06,3.95,0.00,5:59,rear end,13.38,82.34,226,5,3,4.64,2.00,82.34,10.21,3.17,35.29,-70.10,37.95,-50.30,227,5,3,3.75,1.99,82.34,17.32,3.95,30.25,-107.54,37.18,-56.03,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,131.00,30.91,-102.62,0.00,3.60,2.00,17.95,11.29,-2.95,-2.95,8.87,0.01,5:59,rear end,9.08,82.35,234,5,3,12.14,2.55,82.34,6.66,2.42,30.08,-108.81,32.25,-92.68,235,5,3,4.21,2.00,82.36,17.95,8.87,24.67,-149.10,30.09,-108.75,1.00,99.00,99.00,
