trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001.trj,62.00,58.88,16.21,0.00,4.90,2.00,3.54,1.76,-2.80,-2.80,1.00,0.00,5:59,rear end,2.54,261.93,688,1,2,4.84,2.29,261.93,1.78,0.76,58.88,16.21,57.77,8.33,691,1,2,4.21,2.00,261.93,3.54,1.00,60.44,27.19,59.41,19.92,1.00,99.00,99.00,
Intersection_1_001.trj,69.00,47.37,9.96,0.00,1.10,1.00,14.29,0.84,-0.49,-5.69,0.47,1.29,5:57,rear end,10.56,79.61,134,11,1,10.22,2.50,79.02,10.21,0.37,44.61,-0.31,56.21,59.44,141,10004,1,7.93,2.55,80.31,11.01,0.47,44.04,-15.95,53.89,41.76,1.00,99.00,99.00,
Intersection_1_001.trj,77.00,93.03,-19.65,0.00,4.10,3.00,5.11,2.47,-1.27,-1.27,1.23,-4.56,6:09,rear end,3.88,169.40,253,9,1,10.22,2.50,172.40,2.66,1.23,93.03,-19.65,89.26,-19.15,254,10003,1,10.22,2.50,167.84,5.11,1.23,112.75,-23.21,103.01,-21.11,1.00,99.00,99.00,
Intersection_1_001.trj,80.00,35.42,-46.62,0.00,4.10,3.00,17.77,9.20,-3.67,-3.67,5.68,0.00,5:59,rear end,12.09,82.34,143,5,4,6.04,2.40,82.34,8.56,3.52,35.42,-46.62,37.14,-33.81,144,5,4,4.61,1.95,82.34,17.77,5.68,29.89,-87.75,36.19,-40.85,1.00,99.00,99.00,
Intersection_1_001.trj,101.00,106.80,-21.93,0.00,4.90,3.00,16.27,8.81,-3.05,-7.65,5.93,-1.87,6:04,rear end,10.35,169.89,262,10003,1,7.93,2.55,170.85,7.47,2.89,106.80,-21.93,90.53,-19.31,266,3,1,4.76,2.07,168.99,16.27,5.93,145.83,-29.66,112.82,-23.23,1.00,99.00,99.00,
Intersection_1_001.trj,101.00,124.04,-25.66,0.00,0.80,1.00,12.51,1.94,0.00,0.00,1.37,2.92,5:54,rear end,10.54,168.82,262,10003,1,7.93,2.55,167.85,10.00,0.57,133.91,-27.78,114.76,-23.65,263,3,1,4.21,2.00,170.77,11.86,1.37,152.88,-30.57,128.53,-26.62,1.00,99.00,99.00,
Intersection_1_001.trj,107.00,112.05,-23.06,0.00,1.60,2.00,2.39,2.39,-2.82,-2.82,1.19,0.03,5:59,rear end,1.19,167.79,266,10003,1,4.76,2.07,167.76,0.00,1.19,112.05,-23.06,107.44,-22.07,265,10003,1,4.76,2.07,167.79,2.39,1.19,120.26,-24.85,115.97,-23.92,1.00,99.00,99.00,
Intersection_1_001.trj,106.00,123.97,-25.64,0.00,4.10,3.00,10.55,5.35,-3.34,-3.34,3.17,1.58,5:57,rear end,8.37,168.98,265,10003,1,4.76,2.07,167.80,5.20,3.17,123.97,-25.64,112.83,-23.24,264,3,1,5.97,2.41,169.38,10.55,2.17,144.68,-29.51,123.19,-25.48,1.00,99.00,99.00,
Intersection_1_001.trj,116.00,113.36,-23.35,0.00,3.70,3.00,16.89,15.82,-3.07,-3.07,9.39,3.48,5:53,rear end,6.88,171.09,264,10003,1,5.97,2.41,167.74,0.45,6.43,114.70,-23.64,104.33,-21.39,269,3,1,4.76,2.07,171.23,16.27,9.39,186.91,-35.01,118.21,-24.40,1.00,99.00,99.00,
Intersection_1_001.trj,123.00,74.80,-17.33,0.00,3.50,2.00,7.86,3.35,-4.08,-4.08,1.67,-0.04,6:00,rear end,6.19,172.97,266,9,1,4.76,2.07,173.00,4.52,1.67,74.80,-17.33,69.97,-16.73,265,9,1,4.76,2.07,172.95,7.86,1.67,85.49,-18.65,76.10,-17.49,1.00,99.00,99.00,
